role_label,skill,mentions
AI Engineer,Python,175
AI Engineer,RAG,144
AI Engineer,LangChain,141
AI Engineer,LLM,136
AI Engineer,APIs,135
AI Engineer,Prompt Engineering,131
AI Engineer,Business Recommendations,127
AI Engineer,Future of Work,127
AI Engineer,Labor Market Analytics,127
AI Engineer,Stakeholder Communication,127
AI Engineer,Machine Learning,104
AI Engineer,Vector Database,103
AI Engineer,OpenAI API,75
AI Engineer,Gemini API,71
AI Engineer,SQL,71
Business Analyst,Python,17
Business Analyst,KPI Reporting,11
Business Analyst,Azure,8
Business Analyst,Java,7
Business Analyst,Agile,5
Business Analyst,SQL,5
Business Analyst,APIs,5
Business Analyst,Data Visualization,4
Business Analyst,Machine Learning,3
Business Analyst,Business Recommendations,3
Business Analyst,Jira,3
Business Analyst,ETL,3
Business Analyst,MySQL,3
Business Analyst,PostgreSQL,3
Business Analyst,AWS,3
Data Analyst,SQL,438
Data Analyst,KPI Reporting,158
Data Analyst,Excel,150
Data Analyst,APIs,133
Data Analyst,Power BI,132
Data Analyst,Python,123
Data Analyst,Data Visualization,113
Data Analyst,Future of Work,94
Data Analyst,Business Recommendations,94
Data Analyst,Stakeholder Communication,94
Data Analyst,Labor Market Analytics,94
Data Analyst,Tableau,93
Data Analyst,Java,74
Data Analyst,Statistics,74
Data Analyst,AWS,67
Data Engineer,Python,144
Data Engineer,ETL,120
Data Engineer,Spark,108
Data Engineer,SQL,83
Data Engineer,AWS,73
Data Engineer,Airflow,73
Data Engineer,Data Warehousing,69
Data Engineer,PySpark,60
Data Engineer,Scala,57
Data Engineer,Azure,55
Data Engineer,GCP,49
Data Engineer,Kafka,44
Data Engineer,APIs,43
Data Engineer,Java,39
Data Engineer,Databricks,37
Data Scientist,Machine Learning,196
Data Scientist,Python,82
Data Scientist,Natural Language Processing,59
Data Scientist,SQL,39
Data Scientist,Scikit-learn,32
Data Scientist,Statistics,28
Data Scientist,Data Visualization,25
Data Scientist,Model Evaluation,24
Data Scientist,Future of Work,22
Data Scientist,Stakeholder Communication,22
Data Scientist,Labor Market Analytics,22
Data Scientist,Business Recommendations,22
Data Scientist,Azure,21
Data Scientist,LLM,20
Data Scientist,APIs,20
ML Engineer,APIs,102
ML Engineer,Python,97
ML Engineer,Docker,76
ML Engineer,AWS,56
ML Engineer,Machine Learning,49
ML Engineer,Azure,48
ML Engineer,Kubernetes,47
ML Engineer,CI/CD,43
ML Engineer,Java,41
ML Engineer,MLOps,36
ML Engineer,GCP,34
ML Engineer,Scikit-learn,30
ML Engineer,Model Evaluation,28
ML Engineer,Stakeholder Communication,28
ML Engineer,Future of Work,28
NLP Engineer,LLM,85
NLP Engineer,Python,81
NLP Engineer,RAG,80
NLP Engineer,Natural Language Processing,80
NLP Engineer,Stakeholder Communication,75
NLP Engineer,Future of Work,75
NLP Engineer,Business Recommendations,75
NLP Engineer,Semantic Search,75
NLP Engineer,Labor Market Analytics,75
NLP Engineer,Sentence Transformers,74
NLP Engineer,Information Extraction,74
NLP Engineer,APIs,54
NLP Engineer,Vector Database,39
NLP Engineer,Gemini API,34
NLP Engineer,Prompt Engineering,33
Research Analyst,Stakeholder Communication,46
Research Analyst,Market Research,46
Research Analyst,Labor Market Analytics,46
Research Analyst,Statistics,46
Research Analyst,Econometrics,46
Research Analyst,Data Visualization,46
Research Analyst,SQL,46
Research Analyst,Business Recommendations,46
Research Analyst,Future of Work,46
Research Analyst,Economic Analysis,46
Research Analyst,APIs,26
Research Analyst,Prompt Engineering,23
Research Analyst,Scikit-learn,19
Research Analyst,ETL,19
Research Analyst,Python,18
